record_id,user_id,record_date,contract_value_usd,contract_type
1,13,2024-12-16,8523.69,Monthly
2,25,2025-06-16,1610.06,Annual
3,9,2024-10-28,2243.3,Monthly
4,5,2025-05-26,1455.39,Annual
5,17,2025-05-11,3430.62,Monthly
6,5,2024-04-23,9888.13,One-Time
7,4,2024-08-25,3427.45,Monthly
8,8,2024-06-19,3530.06,Annual
9,11,2025-01-31,2653.3,Annual
10,21,2024-05-17,2809.06,Annual
11,17,2025-04-27,5484.87,One-Time
12,14,2025-01-22,2995.09,One-Time
13,10,2025-07-05,9963.45,Monthly
14,14,2024-10-11,9262.99,Monthly
15,26,2024-04-30,9482.6,Annual
16,10,2024-08-07,6230.61,Monthly
17,8,2024-08-02,5467.82,Monthly
18,12,2024-12-16,8943.87,One-Time
19,26,2025-07-09,7382.55,Monthly
20,21,2025-02-01,1707.51,One-Time
21,23,2024-10-18,7627.35,Monthly
22,10,2024-09-30,5957.73,One-Time
23,18,2025-04-30,5753.85,Monthly
24,2,2024-01-29,7515.39,One-Time
25,23,2025-02-04,5380.92,One-Time
26,8,2024-11-15,9468.08,One-Time
27,8,2024-09-30,3554.12,Monthly
28,24,2024-01-13,5530.67,One-Time
29,11,2024-08-16,9261.87,Annual
30,7,2024-01-05,2996.91,Annual
31,20,2025-01-04,6233.79,Monthly
32,14,2024-06-19,9072.66,Monthly
33,4,2024-12-06,1196.46,Annual
34,19,2025-03-28,1614.85,Annual
35,20,2024-01-09,2314.25,Annual
36,12,2024-12-18,6706.98,One-Time
37,9,2024-02-03,7089.11,One-Time
38,17,2025-07-11,9474.86,Monthly
39,9,2024-01-04,2316.62,Monthly
40,5,2025-07-25,4706.49,One-Time
41,18,2025-06-08,1918.89,Annual
42,7,2024-10-13,6420.29,Monthly
43,25,2025-06-06,3544.58,Annual
44,14,2024-01-24,5925.1,Annual
45,22,2025-07-20,8276.37,Annual
46,29,2024-02-28,8007.05,Annual
47,3,2024-04-16,7262.84,Annual
48,4,2024-12-01,7469.99,Annual
49,15,2025-06-11,8379.74,One-Time
50,20,2025-06-26,2365.38,Monthly
51,24,2025-04-22,9349.36,One-Time
52,20,2024-01-12,6316.66,One-Time
53,2,2024-03-15,8307.85,Annual
54,23,2024-08-23,1132.06,One-Time
55,1,2025-05-02,7535.01,Monthly
56,12,2024-11-12,5969.32,Monthly
57,23,2024-03-16,5331.76,Monthly
58,15,2024-04-19,3305.92,One-Time
59,28,2025-02-04,2735.58,Monthly
60,30,2024-02-08,3730.25,Annual
61,4,2024-09-22,1617.79,Monthly
62,25,2024-06-08,6907.03,Annual
63,13,2024-07-21,6520.12,Monthly
64,14,2024-03-03,6537.59,Monthly
65,5,2024-02-14,4254.46,Monthly
66,27,2025-01-07,1552.36,Annual
67,23,2024-12-09,2970.15,Monthly
68,14,2024-03-17,4003.63,Monthly
69,2,2025-01-21,2498.08,Annual
70,2,2024-12-01,8711.36,Annual
71,5,2024-05-15,4057.57,One-Time
72,16,2024-04-08,6413.07,Annual
73,5,2025-04-08,3212.47,Monthly
74,29,2024-08-14,6952.25,Annual
75,13,2025-06-04,8001.59,Monthly
76,4,2025-06-17,4145.01,One-Time
77,14,2024-01-17,1550.14,Annual
78,2,2024-11-03,7315.5,Monthly
79,9,2024-11-07,3870.59,One-Time
80,5,2025-04-25,6126.14,Annual
81,16,2025-04-26,5893.58,One-Time
82,19,2024-03-24,9177.89,Annual
83,18,2025-02-24,5218.58,One-Time
84,21,2024-12-11,5551.93,One-Time
85,13,2024-11-17,8904.13,Monthly
86,1,2024-09-21,4081.56,Monthly
87,19,2024-11-23,4028.4,One-Time
88,28,2024-11-14,7288.33,Annual
89,12,2024-06-07,8593.71,One-Time
90,5,2024-05-06,4317.25,Monthly
91,14,2024-07-19,5287.92,Annual
92,19,2024-03-25,1257.82,One-Time
93,30,2024-04-13,9277.09,Annual
94,3,2025-06-19,6501.73,One-Time
95,27,2025-05-12,1766.21,One-Time
96,24,2024-11-12,3038.84,Monthly
97,2,2024-10-08,1606.64,Annual
98,25,2024-06-24,6298.39,One-Time
99,4,2025-06-14,5284.34,Monthly
100,12,2024-08-18,4023.45,One-Time
