record_id,user_id,record_date,invoice_amount_usd,status
1,6,2024-02-13,5714.46,Overdue
2,16,2025-04-18,7980.87,Paid
3,28,2025-07-03,4601.36,Overdue
4,1,2024-12-07,2209.24,Overdue
5,11,2024-06-05,2688.34,Overdue
6,1,2024-01-14,5811.29,Unpaid
7,27,2024-04-06,4723.75,Unpaid
8,13,2024-11-07,202.63,Paid
9,5,2024-05-13,6052.38,Paid
10,26,2024-01-29,2162.67,Paid
11,18,2024-09-08,3867.73,Overdue
12,24,2024-07-10,2676.26,Unpaid
13,14,2025-06-08,918.8,Overdue
14,1,2024-04-17,7288.46,Unpaid
15,30,2024-11-22,6697.17,Overdue
16,5,2025-04-12,3260.22,Unpaid
17,24,2024-12-08,7674.32,Paid
18,13,2024-10-18,6828.16,Unpaid
19,11,2025-06-25,2396.31,Overdue
20,28,2024-11-20,6105.48,Unpaid
21,23,2025-01-18,990.75,Paid
22,21,2024-11-01,6137.41,Unpaid
23,27,2024-05-02,1265.84,Unpaid
24,20,2024-12-29,4090.33,Paid
25,17,2024-12-15,3544.6,Paid
26,10,2024-05-05,2556.89,Paid
27,28,2025-02-07,1781.05,Overdue
28,20,2025-05-07,6274.84,Unpaid
29,24,2024-09-10,7442.42,Paid
30,28,2024-08-04,5330.63,Paid
31,4,2024-04-17,5313.55,Overdue
32,14,2024-06-03,7446.9,Unpaid
33,26,2025-02-16,2237.53,Unpaid
34,25,2025-02-08,7412.84,Paid
35,28,2025-01-07,5864.62,Paid
36,7,2024-03-01,6696.5,Unpaid
37,9,2024-04-25,145.15,Unpaid
38,6,2025-04-07,2939.62,Unpaid
39,27,2025-01-06,5974.14,Unpaid
40,15,2024-06-27,1524.13,Unpaid
41,1,2025-05-19,6168.53,Paid
42,10,2025-01-18,3321.16,Unpaid
43,6,2024-09-05,895.7,Unpaid
44,22,2025-02-11,6118.04,Overdue
45,12,2024-10-30,6258.1,Overdue
46,6,2025-05-09,7860.46,Paid
47,25,2025-05-25,6234.92,Unpaid
48,17,2024-04-17,7040.18,Unpaid
49,9,2025-01-14,7456.75,Paid
50,16,2024-12-28,3766.38,Paid
51,27,2024-04-09,5053.22,Unpaid
52,18,2024-01-12,3841.65,Overdue
53,16,2025-05-17,7768.95,Unpaid
54,5,2024-11-29,7551.36,Paid
55,8,2025-05-03,5847.42,Unpaid
56,2,2024-02-19,5562.46,Unpaid
57,11,2025-02-25,7292.06,Overdue
58,12,2024-12-28,3392.35,Paid
59,8,2025-06-21,6899.56,Unpaid
60,26,2025-06-23,6307.13,Overdue
61,6,2024-10-15,1266.93,Overdue
62,19,2024-05-23,657.03,Overdue
63,19,2024-09-05,1038.22,Overdue
64,1,2024-07-19,6793.38,Overdue
65,15,2025-07-26,278.36,Paid
66,17,2024-06-13,1312.14,Unpaid
67,9,2025-02-04,1413.14,Unpaid
68,10,2025-07-25,1398.75,Paid
69,1,2025-05-26,5925.71,Paid
70,17,2024-08-24,2467.7,Unpaid
71,14,2024-04-06,619.38,Paid
72,30,2024-10-04,6470.35,Paid
73,1,2025-04-29,4861.23,Paid
74,6,2024-10-11,397.94,Paid
75,24,2025-06-29,3814.85,Overdue
76,24,2024-11-12,6264.08,Unpaid
77,16,2025-05-05,7348.51,Unpaid
78,23,2025-02-02,3830.79,Overdue
79,4,2025-07-14,4973.33,Overdue
80,16,2024-10-31,5805.81,Unpaid
81,6,2024-08-27,2651.73,Overdue
82,28,2024-02-25,5126.21,Paid
83,18,2025-05-06,7431.38,Paid
84,20,2024-11-01,477.99,Overdue
85,9,2024-09-08,4779.4,Unpaid
86,5,2024-03-17,1624.73,Paid
87,9,2024-08-01,1608.63,Paid
88,2,2024-05-26,7085.49,Overdue
89,13,2024-10-15,6276.8,Overdue
90,11,2024-07-11,5860.01,Paid
91,17,2025-03-11,6650.3,Paid
92,20,2025-05-04,5048.71,Unpaid
93,22,2025-06-22,5066.27,Overdue
94,3,2024-05-16,5949.21,Paid
95,10,2024-06-07,3002.04,Overdue
96,3,2024-07-05,1862.86,Overdue
97,23,2025-06-02,4232.22,Unpaid
98,20,2025-02-09,2090.59,Overdue
99,27,2024-07-24,7542.98,Overdue
100,20,2024-06-08,4151.43,Paid
