record_id,user_id,record_date,lead_source,lead_value_usd
1,11,2024-05-09,Web,1545.03
2,18,2025-05-31,Event,402.86
3,28,2025-03-28,Outbound,2717.29
4,21,2024-07-17,Web,2407.81
5,23,2024-09-06,Referral,2861.24
6,18,2024-11-18,Event,2635.39
7,13,2025-01-03,Web,1328.02
8,23,2024-12-05,Event,1192.5
9,10,2024-08-15,Event,1947.56
10,30,2024-03-08,Event,535.78
11,20,2024-03-10,Outbound,1314.13
12,21,2024-07-18,Web,1093.93
13,29,2025-01-02,Web,223.32
14,28,2024-09-29,Outbound,1905.79
15,16,2024-03-07,Web,829.7
16,9,2025-01-11,Event,2627.62
17,6,2025-07-16,Outbound,2504.8
18,23,2024-06-30,Web,70.9
19,14,2024-12-25,Outbound,379.48
20,19,2024-03-27,Web,1932.38
21,8,2024-10-08,Web,1650.35
22,24,2024-08-05,Web,941.42
23,13,2024-05-22,Web,626.79
24,1,2025-07-22,Referral,2441.18
25,14,2024-09-18,Referral,2761.92
26,6,2024-02-03,Event,62.98
27,7,2025-05-31,Referral,997.18
28,20,2024-11-02,Event,1033.79
29,9,2024-09-08,Referral,2263.22
30,20,2025-02-21,Web,1339.17
31,5,2024-06-17,Event,2930.93
32,27,2024-05-21,Web,416.08
33,9,2024-10-05,Referral,613.07
34,14,2024-04-30,Outbound,2984.35
35,18,2024-01-29,Web,94.17
36,5,2025-06-08,Event,115.66
37,25,2024-02-15,Event,458.97
38,17,2025-05-03,Referral,2622.28
39,29,2025-07-15,Event,234.05
40,1,2024-08-09,Outbound,134.37
41,22,2024-06-08,Event,2353.22
42,1,2024-12-31,Web,1994.99
43,14,2025-05-30,Web,849.54
44,5,2025-07-26,Web,1808.0
45,10,2024-09-04,Referral,761.95
46,2,2024-09-06,Outbound,217.14
47,20,2025-03-27,Referral,253.69
48,29,2025-04-23,Outbound,103.16
49,21,2024-11-22,Referral,2204.99
50,22,2024-01-01,Event,2636.18
51,18,2025-01-26,Event,766.71
52,8,2024-06-04,Web,2119.69
53,26,2024-05-30,Event,589.48
54,18,2024-10-19,Web,726.42
55,20,2024-09-25,Outbound,248.65
56,9,2025-05-20,Outbound,2788.2
57,17,2025-07-14,Referral,2794.95
58,6,2024-12-21,Web,2596.24
59,17,2025-07-01,Web,1497.67
60,26,2024-06-13,Event,2381.18
61,17,2025-04-16,Referral,2574.57
62,30,2024-04-20,Web,51.18
63,4,2024-03-27,Event,2176.02
64,23,2025-03-24,Web,1898.5
65,5,2025-06-19,Web,1005.43
66,5,2024-09-27,Event,57.76
67,23,2024-12-08,Outbound,1283.29
68,23,2025-03-24,Event,1363.72
69,22,2025-06-14,Event,1969.68
70,23,2024-10-23,Outbound,794.19
71,12,2024-11-22,Outbound,2787.13
72,22,2025-01-08,Web,1202.68
73,1,2024-10-15,Outbound,681.34
74,28,2025-06-09,Outbound,2334.81
75,11,2024-01-28,Web,1343.08
76,4,2024-11-25,Event,1586.58
77,11,2025-04-04,Referral,1149.4
78,21,2024-08-10,Event,2407.62
79,15,2025-07-23,Event,2784.15
80,25,2024-04-12,Event,2250.62
81,1,2024-03-17,Outbound,1216.28
82,22,2024-03-03,Referral,738.99
83,19,2024-10-18,Web,562.5
84,3,2024-11-19,Referral,224.66
85,12,2024-11-15,Web,2638.06
86,4,2025-05-27,Referral,2893.4
87,26,2024-03-30,Event,2082.13
88,8,2024-08-07,Outbound,428.87
89,13,2024-06-06,Outbound,147.16
90,17,2025-06-08,Event,2654.27
91,22,2025-01-31,Web,1278.69
92,29,2024-05-08,Event,597.33
93,28,2024-03-23,Outbound,470.7
94,23,2024-12-02,Web,2707.86
95,18,2024-05-16,Event,1467.43
96,16,2024-04-18,Event,2437.9
97,6,2025-01-19,Referral,2427.17
98,7,2025-03-02,Referral,720.82
99,21,2024-01-16,Web,1635.05
100,2,2024-06-13,Web,2055.87
