record_id,user_id,record_date,renewal_term_months,renewal_value_usd
1,7,2024-02-10,6,3676.07
2,30,2025-05-22,24,3933.92
3,2,2024-04-21,12,4135.37
4,16,2024-10-08,24,1342.9
5,21,2024-04-22,6,4955.66
6,19,2024-01-18,6,467.99
7,9,2024-02-24,6,993.16
8,6,2024-04-30,24,1042.6
9,18,2024-03-04,24,2605.47
10,19,2025-05-17,24,2241.69
11,3,2025-06-16,12,4431.6
12,8,2024-01-21,24,1159.19
13,29,2024-01-11,12,1804.59
14,12,2024-11-10,12,3058.99
15,27,2024-05-10,12,3937.28
16,5,2024-11-08,24,1830.45
17,4,2025-01-20,12,2319.0
18,7,2024-11-21,6,1373.08
19,6,2024-05-02,24,3611.02
20,25,2024-07-30,24,2171.37
21,9,2024-03-11,24,720.38
22,12,2025-01-19,24,682.16
23,30,2025-01-15,6,4743.36
24,13,2025-06-14,24,1655.96
25,18,2025-06-07,6,4261.79
26,6,2024-01-18,6,3651.65
27,22,2024-09-22,24,2102.87
28,17,2025-03-12,6,897.81
29,9,2024-10-23,12,2765.47
30,5,2025-03-13,24,3717.64
31,10,2024-01-04,12,4901.0
32,7,2024-06-12,6,3185.32
33,30,2025-04-02,12,290.24
34,5,2025-03-07,24,3281.63
35,23,2024-09-08,24,1725.34
36,4,2025-07-07,24,4197.01
37,11,2024-07-25,12,700.98
38,4,2024-01-06,6,2399.52
39,12,2024-02-23,24,4470.8
40,22,2024-03-31,12,2698.47
41,14,2025-06-09,24,4697.45
42,23,2025-02-14,6,4928.74
43,19,2024-05-14,6,753.15
44,24,2024-07-23,12,352.48
45,30,2024-09-03,24,1813.67
46,28,2025-01-29,6,3144.58
47,29,2025-02-27,6,3165.66
48,5,2024-02-02,24,4972.9
49,20,2024-03-05,6,3506.56
50,21,2025-01-11,24,2052.77
51,12,2024-08-05,24,515.66
52,25,2025-04-14,24,3523.32
53,20,2025-05-23,6,1941.96
54,11,2025-05-21,6,1606.51
55,30,2024-11-17,12,2904.83
56,30,2025-05-13,6,3795.8
57,15,2024-02-27,24,267.19
58,6,2025-03-29,12,2065.99
59,21,2024-03-06,6,4192.37
60,15,2024-03-03,24,3012.02
61,29,2024-04-30,12,4445.15
62,22,2024-12-23,6,3436.87
63,4,2025-04-27,6,2878.68
64,17,2024-03-25,6,664.12
65,24,2024-01-02,12,4841.94
66,28,2024-03-10,12,4858.67
67,18,2025-07-15,6,936.71
68,2,2024-02-23,6,1609.92
69,20,2025-02-12,12,992.48
70,20,2025-07-15,24,269.7
71,7,2024-08-08,12,1134.86
72,3,2024-06-24,12,1816.5
73,20,2024-12-30,12,1450.42
74,18,2024-06-06,6,4930.52
75,26,2024-12-07,6,1899.38
76,7,2025-01-26,24,1219.74
77,30,2024-12-25,24,453.32
78,25,2025-04-30,6,1598.24
79,11,2025-07-16,12,2388.21
80,1,2025-03-14,12,1200.51
81,25,2024-02-23,24,4774.56
82,25,2024-12-11,12,1725.12
83,4,2024-02-24,24,1488.77
84,27,2024-01-14,24,200.84
85,27,2024-04-22,6,1495.68
86,18,2024-03-27,24,2870.75
87,17,2024-11-18,12,4625.93
88,2,2024-02-03,12,959.7
89,3,2024-04-22,24,864.51
90,2,2024-03-10,12,3419.5
91,14,2025-01-14,12,628.19
92,6,2025-04-07,6,447.56
93,7,2024-01-20,12,2428.43
94,14,2024-06-20,12,1821.2
95,11,2024-09-04,24,2741.7
96,25,2025-04-06,24,2148.12
97,6,2024-03-24,24,4853.42
98,17,2024-11-08,6,2055.24
99,7,2025-07-19,12,2581.73
100,29,2024-10-26,6,689.8
