record_id,user_id,record_date,sale_amount_usd,product_category
1,16,2024-11-18,4442.17,Software
2,11,2024-12-15,3126.57,Software
3,26,2024-10-29,298.53,Hardware
4,11,2024-01-02,2192.18,Service
5,12,2024-11-14,2881.68,Service
6,30,2024-04-05,1216.52,Software
7,20,2025-07-18,151.65,Service
8,29,2024-04-05,3632.35,Hardware
9,29,2024-01-31,1135.69,Software
10,5,2025-04-22,579.22,Hardware
11,21,2024-02-23,4554.06,Hardware
12,28,2024-12-11,245.97,Hardware
13,18,2024-01-16,2525.07,Software
14,25,2024-06-14,2851.12,Software
15,25,2024-08-26,4633.84,Service
16,21,2025-03-13,2617.04,Service
17,19,2025-01-24,1453.46,Software
18,17,2025-05-28,4440.45,Software
19,13,2024-12-31,2529.75,Service
20,27,2025-04-17,4117.47,Service
21,4,2024-07-17,3822.17,Service
22,15,2024-01-13,4811.49,Software
23,26,2024-10-30,2887.87,Service
24,18,2025-03-31,1297.59,Software
25,25,2025-05-29,4111.47,Software
26,1,2024-06-01,1005.57,Hardware
27,15,2025-04-21,3485.32,Service
28,9,2025-05-10,944.31,Software
29,12,2025-05-10,2725.15,Software
30,9,2024-11-03,1287.26,Hardware
31,6,2024-11-19,4036.04,Software
32,5,2024-04-02,2789.83,Service
33,10,2024-08-14,2847.17,Software
34,29,2025-02-10,1749.12,Service
35,1,2024-10-15,1115.8,Service
36,27,2025-01-26,3557.66,Hardware
37,5,2024-07-25,3238.35,Software
38,17,2025-07-19,3992.85,Service
39,3,2024-10-13,1690.34,Service
40,7,2024-02-17,283.83,Hardware
41,18,2024-03-27,990.31,Service
42,27,2024-12-12,522.05,Hardware
43,8,2025-06-10,1831.32,Software
44,25,2024-08-07,4786.04,Service
45,30,2024-05-15,1686.15,Hardware
46,5,2024-03-03,3864.13,Hardware
47,7,2024-07-19,1584.47,Service
48,19,2024-08-25,2822.79,Hardware
49,12,2024-09-19,4538.09,Software
50,27,2025-05-06,3408.24,Hardware
51,29,2024-10-01,1363.56,Software
52,27,2024-01-08,214.93,Service
53,22,2024-09-28,2695.65,Hardware
54,27,2025-05-04,109.15,Service
55,27,2024-06-16,128.87,Service
56,4,2024-07-09,2718.63,Software
57,27,2024-02-18,4423.96,Software
58,15,2025-02-17,2009.48,Hardware
59,27,2025-06-15,1769.94,Software
60,29,2025-05-26,150.36,Software
61,5,2024-03-05,3022.65,Hardware
62,13,2025-04-21,1219.17,Service
63,6,2024-08-31,3438.41,Service
64,17,2024-02-23,3664.21,Software
65,15,2024-10-05,3823.42,Service
66,4,2024-06-18,2691.95,Software
67,12,2025-07-14,1566.62,Software
68,2,2024-01-05,4100.49,Service
69,1,2025-04-17,4875.44,Software
70,24,2024-11-07,2550.97,Service
71,28,2024-03-09,3150.83,Service
72,4,2024-05-14,2506.13,Service
73,5,2024-06-09,4858.29,Service
74,7,2025-03-23,1612.4,Software
75,3,2024-06-09,384.3,Software
76,28,2024-01-13,2349.86,Hardware
77,3,2025-06-08,4383.53,Software
78,15,2024-04-08,1330.13,Software
79,24,2024-07-11,3122.48,Software
80,23,2025-07-19,750.64,Service
81,13,2025-07-14,3696.21,Hardware
82,20,2025-07-23,107.08,Service
83,27,2024-02-17,296.5,Service
84,6,2025-03-14,3000.67,Hardware
85,8,2024-08-15,4933.38,Software
86,8,2024-07-08,4240.88,Software
87,26,2024-10-20,2443.69,Hardware
88,17,2025-07-04,2912.88,Service
89,21,2024-08-21,1583.29,Hardware
90,30,2025-01-19,478.23,Software
91,27,2024-08-25,1151.41,Hardware
92,15,2024-01-15,2658.03,Service
93,21,2025-05-16,2550.19,Service
94,10,2024-03-15,1585.86,Hardware
95,25,2024-01-02,3325.06,Software
96,19,2025-02-27,2212.48,Hardware
97,1,2025-05-03,2277.93,Software
98,27,2024-09-15,4500.12,Hardware
99,4,2024-03-28,536.8,Hardware
100,9,2024-03-20,2580.23,Hardware
